Time,NumberOfVehicles
2.58,0
2.77,0
3.07,1
3.3,0
3.4,0
3.45,0
3.55,0
3.7,0
3.83,0
3.9,0
3.92,0
4.0,0
4.12,0
4.25,0
4.28,0
4.33,0
4.35,0
10.85,17
10.88,17
11.05,17
12.0,14
12.7,27
13.03,23
13.07,0
13.1,17
13.33,22
13.37,22
13.4,22
13.43,22
13.72,21
13.88,0
13.92,19
14.03,19
14.12,30
14.2,30
14.23,30
14.28,30
14.32,30
14.35,20
14.38,20
14.42,20
14.45,20
14.48,20
14.52,20
14.55,20
14.58,31
14.62,31
14.65,31
14.68,31
14.73,31
14.82,0
14.85,23
15.13,19
15.4,21
15.43,20
15.52,20
15.78,27
15.98,23
16.27,20
16.52,24
16.62,24
16.92,18
17.18,18
17.28,18
17.57,21
17.7,21
17.93,16
18.23,5
18.48,15
18.77,7
18.92,11
19.15,12
19.23,12
19.4,0
19.67,11
3.4,0
21.42,5
23.17,2
23.2,2
23.23,1
23.27,2
23.32,1
23.35,1
23.38,1
23.42,1
23.45,1
23.5,1
23.53,1
23.57,1
23.6,1
23.63,1
23.68,1
23.72,1
23.75,1
23.78,1
23.82,1
23.87,2
23.9,2
23.93,2
23.97,0
0.0,2
0.05,2
0.08,1
0.15,1
0.18,1
0.23,1
0.27,1
0.3,1
0.33,1
0.38,1
0.42,1
0.45,1
0.48,1
0.52,1
0.57,1
0.6,0
0.63,0
0.67,0
0.7,0
0.75,0
0.78,0
7.83,37
7.88,37
7.92,36
7.95,36
7.98,36
8.03,37
8.07,43
8.1,43
8.13,43
8.18,43
8.22,43
8.25,43
8.28,43
8.33,34
8.37,34
8.4,34
8.43,34
8.48,34
8.52,34
8.55,34
8.58,43
8.63,43
8.67,43
8.7,43
8.75,43
8.78,43
8.82,43
8.85,44
8.9,44
8.93,44
8.97,44
9.0,44
9.05,44
9.08,38
9.12,38
9.15,38
9.2,36
9.23,36
9.27,36
9.3,38
9.35,35
9.38,35
9.42,35
9.45,35
9.5,35
9.53,35
9.57,35
9.6,33
9.65,34
9.68,33
9.72,33
9.75,33
9.8,34
9.83,36
9.87,36
9.9,36
9.95,36
9.98,36
10.02,36
10.07,36
10.1,24
10.13,24
10.17,24
10.22,24
10.25,24
10.28,24
10.32,33
10.37,33
10.4,32
10.43,32
10.47,32
10.52,33
10.55,32
10.58,28
10.62,28
10.67,28
10.7,28
10.73,28
10.77,28
10.82,28
10.85,28
10.88,28
10.93,28
10.97,28
11.0,28
11.03,28
11.08,29
11.12,29
11.15,29
11.18,26
11.23,26
11.27,26
11.3,26
11.33,26
11.38,26
11.42,26
11.45,25
11.5,25
11.53,25
11.57,25
11.6,23
11.65,24
11.68,23
11.72,23
11.75,24
11.8,23
11.83,33
11.87,34
11.9,33
11.95,33
11.98,34
12.02,33
12.05,26
12.1,26
12.13,26
12.17,26
12.22,26
12.25,26
12.28,26
12.32,26
12.37,28
12.4,29
12.43,29
12.47,29
12.52,28
12.55,28
12.58,20
12.62,20
12.67,20
12.7,20
12.73,20
12.77,20
12.82,20
12.85,15
12.88,15
12.92,15
12.97,15
13.0,15
13.03,15
13.08,22
13.12,22
13.15,22
13.18,22
13.23,22
13.27,22
13.3,22
13.33,21
13.38,21
13.42,21
13.45,21
13.48,21
13.53,21
13.57,23
13.6,24
13.63,23
13.68,23
13.72,23
13.75,24
13.78,24
13.83,24
13.87,27
13.9,27
13.95,27
13.98,27
14.02,27
14.05,27
14.1,20
14.13,20
14.17,20
14.2,20
14.25,20
14.28,20
14.32,20
14.35,24
14.4,24
14.43,24
14.47,24
14.5,24
14.55,24
14.58,21
14.62,21
14.65,21
14.7,21
14.73,21
14.77,21
14.8,26
14.85,26
14.88,26
14.92,26
14.95,26
15.0,26
15.03,26
15.07,26
15.1,14
15.15,14
15.18,14
15.22,14
15.27,14
15.3,14
15.33,28
15.37,28
15.42,28
15.45,28
15.48,28
15.52,28
15.57,28
15.6,17
15.63,17
15.67,17
15.72,17
15.75,17
15.78,17
15.82,17
15.87,16
15.9,16
15.93,15
15.97,16
16.02,15
16.05,16
16.08,25
16.12,25
16.17,25
16.2,25
16.23,25
16.28,25
16.32,17
16.35,17
16.38,17
16.43,17
16.47,17
16.5,17
16.53,17
16.58,25
16.62,25
16.65,25
16.68,25
16.73,25
16.77,25
16.8,25
16.83,25
16.88,26
16.92,26
16.95,26
16.98,26
17.03,26
17.07,26
17.1,12
17.15,12
17.18,12
17.22,12
17.25,12
17.3,12
17.33,12
17.37,19
17.4,19
17.45,19
17.48,19
17.52,19
17.55,19
17.6,24
17.63,24
17.67,0
17.7,24
17.75,24
